Zeitstempel: 2020-09-05T17:05:54.965  ///  Zu vergleichendes Bild: Rad10
Distanz zwischen Rad10 und Schaf10_mir => 746.3645871701592
Distanz zwischen Rad10 und Schaf10_rot => 1009.5721092875835
___________________________________________________________________________________


Execution Time: 933 s
Score (Image): 7

Score (Schwarz-wei�): 0
Score (Rotiert 90 Grad): 0
Score (Gespiegelt): 9
___________________________________________________________________________________

Performance: 

Für Auto01.png: 
Berechnungszeit KPs: 599
Berechnungszeit Cluster: 1290
Berechnungszeit Distanz: 7657
Gesamt:  9546 ms

Für Auto01_bw.png: 
Berechnungszeit KPs: 383
Berechnungszeit Cluster: 1618
Berechnungszeit Distanz: 13896
Gesamt:  15897 ms

Für Auto01_mir.png: 
Berechnungszeit KPs: 471
Berechnungszeit Cluster: 1225
Berechnungszeit Distanz: 31096
Gesamt:  32792 ms

Für Auto01_rot.png: 
Berechnungszeit KPs: 388
Berechnungszeit Cluster: 1185
Berechnungszeit Distanz: 21735
Gesamt:  23308 ms

Für Auto02.png: 
Berechnungszeit KPs: 511
Berechnungszeit Cluster: 949
Berechnungszeit Distanz: 11760
Gesamt:  13220 ms

Für Auto02_bw.png: 
Berechnungszeit KPs: 318
Berechnungszeit Cluster: 1028
Berechnungszeit Distanz: 13617
Gesamt:  14963 ms

Für Auto02_mir.png: 
Berechnungszeit KPs: 307
Berechnungszeit Cluster: 953
Berechnungszeit Distanz: 17348
Gesamt:  18608 ms

Für Auto02_rot.png: 
Berechnungszeit KPs: 377
Berechnungszeit Cluster: 740
Berechnungszeit Distanz: 13133
Gesamt:  14250 ms

Für Auto03.png: 
Berechnungszeit KPs: 273
Berechnungszeit Cluster: 419
Berechnungszeit Distanz: 32288
Gesamt:  32980 ms

Für Auto03_bw.png: 
Berechnungszeit KPs: 210
Berechnungszeit Cluster: 290
Berechnungszeit Distanz: 45453
Gesamt:  45953 ms

Für Auto03_mir.png: 
Berechnungszeit KPs: 210
Berechnungszeit Cluster: 293
Berechnungszeit Distanz: 32245
Gesamt:  32748 ms

Für Auto03_rot.png: 
Berechnungszeit KPs: 192
Berechnungszeit Cluster: 247
Berechnungszeit Distanz: 34841
Gesamt:  35280 ms

Für Auto04.png: 
Berechnungszeit KPs: 235
Berechnungszeit Cluster: 462
Berechnungszeit Distanz: 24389
Gesamt:  25086 ms

Für Auto04_bw.png: 
Berechnungszeit KPs: 242
Berechnungszeit Cluster: 598
